S/N,Tags,Patterns,Response
1,greeting,Hello  ,"Hello, welcome to AI Mind Space! I'm your therapist. How can I help you today?"
,greeting,hey ,Hi there! Welcome to Mindspace! What's on your mind?
,greeting,hi  ,"Hello, welcome to AI Mind Space! How have you been lately?"
,greeting,Hello  ,"Hello, welcome to AI Mind Space! I'm your therapist. How can I help you today?"
,greeting,Hey  ,"Hello, welcome to AI Mind Space! I'm your therapist. How can I help you today?"
,greeting,yo,"Hello, welcome to AI Mind Space! I'm your therapist. How can I help you today?"
,greeting,What's up,Hi there! Welcome to Mindspace! What's on your mind?
,greeting,Greetings ,Hi there! Welcome to Mindspace! What's on your mind?
,greeting,what's up ,"Hello, welcome to AI Mind Space! How have you been lately?"
,greeting,how is it going,"Hello, welcome to AI Mind Space! How have you been lately?"
,greeting,good day ,"Hello, welcome to AI Mind Space! How have you been lately?"
,,,
